tconst	originalTitle	directors	runtimeMinutes
tt0017004	It's the Old Army Game	nm0840042	70
tt0017013	Just Another Blonde	nm0763453	60
tt0017028	Kid Boots	nm0878338	77
tt0017052	Ladies at Play	nm0337586	70
tt0017063	Let's Get Married	nm0478441	70
tt0017082	Love 'Em and Leave 'Em	nm0878338	76
tt0017088	Lovey Mary	nm0007215	70
tt0017089	The Lucky Lady	nm0909825	60
tt0017101	Mademoiselle Modiste	nm0502752	70
tt0017132	Memory Lane	nm0821472	78
tt0017142	Midnight Lovers	nm0227020	70
tt0017166	Monte Carlo	nm0127511	70
tt0017201	The Nervous Wreck	nm0796657	70
tt0017202	The New Klondike	nm0587277	80
tt0017204	The Nickel-Hopper	nm0946756,nm0428059	37
tt0017244	The Palm Beach Girl	nm0448915	70
tt0017276	The Popular Sin	nm0820461	70
tt0017285	The Prince of Pilsen	nm0694260	70
tt0017290	Private Izzy Murphy	nm0045800	80
tt0017305	Raggedy Rose	nm0908831	56
tt0017326	Risky Business	nm0002118	86
tt0017334	Rolling Home	nm0782682	70
tt0017345	The Sap	nm0448915	68
tt0017349	Say It Again	nm0478441	80
tt0017429	Stepping Along	nm0385642	70
tt0017434	Stranded in Paris	nm0744504	70
tt0017439	Subway Sadie	nm0763453	70
tt0017440	Summer Bachelors	nm0245385	70
tt0017444	Sweet Daddies	nm0763453	70
tt0017445	Sweet Rosie O'Grady	nm0833965	69
tt0017446	Syncopating Sue	nm0908831	70
tt0017455	The Texas Streak	nm0721840	70
tt0017467	The Thrill Hunter	nm0211330	57
tt0017478	Too Much Money	nm0227020	70
tt0017483	Tramp, Tramp, Tramp	nm0250034	62
tt0017526	The Waning Sex	nm0502752	70
tt0017532	We're in the Navy Now	nm0840042	60
tt0017539	What Happened to Jones?	nm0782682	70
tt0017554	The Whole Town's Talking	nm0480676	70
tt0017555	Why Girls Go Back Home	nm0282549	60
tt0017562	The Wilderness Woman	nm0383304	80
tt0017586	Young April	nm0187981	70
tt0017617	All Aboard	nm0385642	60
tt0017626	The American Beauty	nm0908831	70
tt0017654	The Bachelor's Baby	nm0833965	56
tt0017666	Becky	nm0565187	70
