nconst	primaryName
nm0519308	Matthew Longfellow
nm0519481	Harry Longstreet
nm0521730	Robin Lough
nm0522634	Jeremy Lovering
nm0523932	Ernst Lubitsch
nm0524188	John Meredyth Lucas
nm0524248	Neil Lucas
nm0525785	Margot Lulick
nm0526946	Ida Lupino
nm0527099	John Lurie
nm0527261	Patrick Lussier
nm0528335	Jeffrey Lynch
nm0528337	Jennifer Lynch
nm0531066	Adrian Maben
nm0531453	John MacCarthy
nm0531751	Hettie Macdonald
nm0531817	Kevin Macdonald
nm0532235	Seth MacFarlane
nm0532683	Gabriel Macht
nm0533241	Alexander Mackendrick
nm0533414	Will Mackenzie
nm0534041	Lauren MacMullan
nm0534850	Omar Madha
nm0534869	K. Madhu
nm0535234	Ole Christian Madsen
nm0535340	Mahiro Maeda
nm0536818	Balu Mahendra
nm0536827	Brendan Maher
nm0538387	J.J. Makaro
nm0538614	Kelly Makin
nm0538744	Constantine Makris
nm0539034	Sibi Malayil
nm0539950	David Mallet
nm0540487	Nancy Malone
nm0541391	Milcho Manchevski
nm0541562	Gail Mancuso
nm0541635	David Mandel
nm0541677	Robert Mandel
nm0542498	Mahesh Manjrekar
nm0542568	Chris Manley
nm0542642	Ami Canaan Mann
nm0542960	Seith Mann
nm0543129	Kim Manners
nm0545763	Nick Marck
nm0546149	Manole Marcus
nm0546791	Jeff Margolis
nm0547616	Serban Marinescu
nm0547772	Frank Marino
nm0548533	Peter Markle
nm0548648	Goran Markovic
nm0549283	James Marlowe
nm0549658	Richard Marquand
nm0550931	James Marshall
nm0551076	Neil Marshall
nm0551358	Joshua Marston
nm0552092	Chuck Martin
nm0552140	Darnell Martin
nm0553235	Chris Martin-Jones
nm0556498	Igor Maslennikov
nm0558052	Terry Matalas
nm0558567	Michael Matheson
nm0558917	Clark Mathis
nm0559535	Leiji Matsumoto
nm0559877	John Mathew Matthan
nm0561879	Bradford May
nm0562266	John Maybury
nm0562709	Gregg Mayles
nm0564319	Jim McBride
nm0564970	Leo McCarey
nm0565336	Tom McCarthy
nm0567912	Michael McDonald
nm0568018	Stuart McDonald
nm0568390	Rob McElhenney
nm0569372	Scott McGinnis
